Epoch:9/10 || Epochiter: 120/403 || Iter: 3344/4030 || Loc: 0.9642 Cla: 1.4441 Landm: 3.1419 || LR: 0.00100000 || Batchtime: 1.0402 s || ETA: 0:11:54
Epoch:9/10 || Epochiter: 121/403 || Iter: 3345/4030 || Loc: 1.3547 Cla: 1.8418 Landm: 3.3514 || LR: 0.00100000 || Batchtime: 1.0771 s || ETA: 0:12:18
Epoch:9/10 || Epochiter: 122/403 || Iter: 3346/4030 || Loc: 1.2430 Cla: 1.7154 Landm: 4.1626 || LR: 0.00100000 || Batchtime: 1.1480 s || ETA: 0:13:06
Epoch:9/10 || Epochiter: 123/403 || Iter: 3347/4030 || Loc: 1.3518 Cla: 1.8808 Landm: 3.8358 || LR: 0.00100000 || Batchtime: 0.9106 s || ETA: 0:10:22
Epoch:9/10 || Epochiter: 124/403 || Iter: 3348/4030 || Loc: 1.1940 Cla: 1.6248 Landm: 2.7875 || LR: 0.00100000 || Batchtime: 1.0711 s || ETA: 0:12:11
Epoch:9/10 || Epochiter: 125/403 || Iter: 3349/4030 || Loc: 1.2770 Cla: 1.9684 Landm: 3.2068 || LR: 0.00100000 || Batchtime: 1.0103 s || ETA: 0:11:29
Epoch:9/10 || Epochiter: 126/403 || Iter: 3350/4030 || Loc: 0.7221 Cla: 1.3329 Landm: 1.8928 || LR: 0.00100000 || Batchtime: 1.0203 s || ETA: 0:11:34
Epoch:9/10 || Epochiter: 127/403 || Iter: 3351/4030 || Loc: 1.2133 Cla: 1.6305 Landm: 3.7033 || LR: 0.00100000 || Batchtime: 0.9624 s || ETA: 0:10:54
Epoch:9/10 || Epochiter: 128/403 || Iter: 3352/4030 || Loc: 1.1324 Cla: 1.6827 Landm: 3.8672 || LR: 0.00100000 || Batchtime: 1.1699 s || ETA: 0:13:14
Epoch:9/10 || Epochiter: 129/403 || Iter: 3353/4030 || Loc: 1.2354 Cla: 1.6801 Landm: 3.6568 || LR: 0.00100000 || Batchtime: 1.0532 s || ETA: 0:11:54
Epoch:9/10 || Epochiter: 130/403 || Iter: 3354/4030 || Loc: 1.1981 Cla: 1.7536 Landm: 3.7733 || LR: 0.00100000 || Batchtime: 1.2896 s || ETA: 0:14:33
Epoch:9/10 || Epochiter: 131/403 || Iter: 3355/4030 || Loc: 1.2502 Cla: 1.7035 Landm: 3.3821 || LR: 0.00100000 || Batchtime: 1.0253 s || ETA: 0:11:33
Epoch:9/10 || Epochiter: 132/403 || Iter: 3356/4030 || Loc: 0.9138 Cla: 1.2793 Landm: 2.7238 || LR: 0.00100000 || Batchtime: 1.3025 s || ETA: 0:14:39
Epoch:9/10 || Epochiter: 133/403 || Iter: 3357/4030 || Loc: 0.9194 Cla: 1.4929 Landm: 2.3444 || LR: 0.00100000 || Batchtime: 1.0542 s || ETA: 0:11:50
Epoch:9/10 || Epochiter: 134/403 || Iter: 3358/4030 || Loc: 0.8805 Cla: 1.5079 Landm: 3.4166 || LR: 0.00100000 || Batchtime: 0.9256 s || ETA: 0:10:22
Epoch:9/10 || Epochiter: 135/403 || Iter: 3359/4030 || Loc: 1.2147 Cla: 1.6644 Landm: 3.0474 || LR: 0.00100000 || Batchtime: 1.1150 s || ETA: 0:12:29
Epoch:9/10 || Epochiter: 136/403 || Iter: 3360/4030 || Loc: 1.3343 Cla: 1.6540 Landm: 3.0149 || LR: 0.00100000 || Batchtime: 1.0841 s || ETA: 0:12:07
Epoch:9/10 || Epochiter: 137/403 || Iter: 3361/4030 || Loc: 1.2242 Cla: 1.7340 Landm: 4.0798 || LR: 0.00100000 || Batchtime: 1.2965 s || ETA: 0:14:28
Epoch:9/10 || Epochiter: 138/403 || Iter: 3362/4030 || Loc: 1.5060 Cla: 1.9747 Landm: 4.6624 || LR: 0.00100000 || Batchtime: 1.0303 s || ETA: 0:11:29
Epoch:9/10 || Epochiter: 139/403 || Iter: 3363/4030 || Loc: 1.3303 Cla: 1.7414 Landm: 4.6015 || LR: 0.00100000 || Batchtime: 1.2367 s || ETA: 0:13:46
Epoch:9/10 || Epochiter: 140/403 || Iter: 3364/4030 || Loc: 1.2570 Cla: 1.8975 Landm: 3.6198 || LR: 0.00100000 || Batchtime: 1.0432 s || ETA: 0:11:35
Epoch:9/10 || Epochiter: 141/403 || Iter: 3365/4030 || Loc: 1.2662 Cla: 1.9472 Landm: 3.7023 || LR: 0.00100000 || Batchtime: 1.0113 s || ETA: 0:11:13
Epoch:9/10 || Epochiter: 142/403 || Iter: 3366/4030 || Loc: 0.9926 Cla: 1.5282 Landm: 3.2229 || LR: 0.00100000 || Batchtime: 1.0342 s || ETA: 0:11:27
